kuantitas,nilai_1,asal_1,nilai_2,asal_2,selisih,sebab
"AUC, Logistic Regression, Model B, ambang 0.50",0.8028,"Table 2, lima seed (42, 1, 7, 13, 99)",0.8024,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",-0.0004,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Brier, Logistic Regression, Model B, ambang 0.50",0.1591,"Table 2, lima seed (42, 1, 7, 13, 99)",0.1593,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0002,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Recall, Logistic Regression, Model B, ambang 0.50",0.4908,"Table 2, lima seed (42, 1, 7, 13, 99)",0.4940,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0032,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"AUC, Decision Tree, Model B, ambang 0.50",0.7103,"Table 2, lima seed (42, 1, 7, 13, 99)",0.7107,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0004,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Brier, Decision Tree, Model B, ambang 0.50",0.1972,"Table 2, lima seed (42, 1, 7, 13, 99)",0.1964,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",-0.0008,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Recall, Decision Tree, Model B, ambang 0.50",0.4095,"Table 2, lima seed (42, 1, 7, 13, 99)",0.4178,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0083,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"AUC, Random Forest, Model B, ambang 0.50",0.7830,"Table 2, lima seed (42, 1, 7, 13, 99)",0.7815,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",-0.0015,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Brier, Random Forest, Model B, ambang 0.50",0.1675,"Table 2, lima seed (42, 1, 7, 13, 99)",0.1678,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0003,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Recall, Random Forest, Model B, ambang 0.50",0.3760,"Table 2, lima seed (42, 1, 7, 13, 99)",0.3783,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0023,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"AUC, Gradient Boosting, Model B, ambang 0.50",0.7865,"Table 2, lima seed (42, 1, 7, 13, 99)",0.7871,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0006,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
